,RaR0,RaR1,RaR2,RaR3,RaR4,wRaR0,wRaR1,wRaR2,wRaR3,wRaR4
1,0.10044408695899112,0.04844625430847804,0.531070723064708,0.03560357320786393,0.5277363080435176,0.09040733574442836,0.05569703759877276,0.5170808218211314,0.03546915292419653,0.5148478094707574
2,0.1530289990793124,0.06627479041853046,0.5502553887073243,0.01803588233994955,0.5758217563314988,0.11031917771723425,0.06945637870237681,0.5449444039301076,0.033924488718241164,0.5586023825408774
3,0.19806848313423134,0.08283192903159702,0.5772273079757204,0.03734017373654626,0.6165163454864685,0.13834190085141934,0.10324955912198167,0.556733576153571,0.029402550271858376,0.5918726043405063
4,0.21049154258163694,0.08228174978969748,0.5990450453877009,0.0425011729575205,0.6454322888266606,0.18726286729447364,0.09818719336437956,0.5870851909417435,0.04144983095178308,0.6113465832716329
5,0.22447613315141526,0.11475652773716982,0.6136436390367888,0.06634513864535516,0.6603793329322384,0.1782763392222757,0.13074560102964575,0.5937165437921801,0.040692148152109205,0.6235631348855009
6,0.22704071715186816,0.0835744764991739,0.6282492734166222,0.051693629480052586,0.6758873070613337,0.16669959984853602,0.09127787039612112,0.5947626628531648,0.03578913470101906,0.6369375508568874
7,0.214719506259691,0.09406159401983835,0.6359798344361194,0.04298638693172809,0.672823838499778,0.21538382463616243,0.11233461125633486,0.6098613230068026,0.032077587151296626,0.6539820006560648
8,0.2569656878825547,0.10925383845184564,0.6467277916826882,0.040828978248013945,0.6915001561911238,0.17554302206690503,0.10788448250319187,0.6264353445481935,0.04634782161041985,0.6651501187042058
9,0.17938325480798695,0.13031028784040274,0.6342561592020356,0.047907529984163505,0.6798412331971242,0.19728714733756753,0.12348110879437484,0.6245890228546109,0.05320220814956282,0.6735923605723515
10,0.19780265280252896,0.126450573101258,0.6408113967871991,0.05606482413899776,0.6887986628480296,0.18573351845286803,0.11565721401122322,0.6391810841712584,0.04424932194385688,0.6837587007237866
11,0.19122392142468073,0.10744683758026338,0.6433386376163865,0.04530479810621509,0.6942625259602028,0.18991089525054872,0.1257503475807237,0.6381799293362523,0.037828978230950765,0.686358429301609
12,0.19584378338255087,0.13678803807311635,0.6515500447173677,0.04916608259961769,0.7002170355210625,0.21798135794744483,0.10437739873398452,0.6385663913313879,0.04255636302634396,0.682502564856539
13,0.20630182619826543,0.11220001997178639,0.642507817190695,0.037110761129977535,0.6934970563405702,0.19927681403365297,0.10685637342925576,0.6454265167980495,0.04218153224756169,0.6910606894875515
14,0.22117433669863334,0.1294592260213507,0.6493160947387511,0.053613221042544165,0.6957316652993761,0.18200041545063522,0.12055954860467397,0.6519298221408605,0.05367719145615122,0.6959522214737103
15,0.2182520394701734,0.10959938972391933,0.6479830432826983,0.05061339611328133,0.6970239555098401,0.22740616895101945,0.0924537193538873,0.6489982040795359,0.043363049460948974,0.6989748587190248
16,0.2424285360324089,0.12475513299342836,0.649462544314453,0.04597227533919529,0.6932778378754068,0.2357381522207614,0.12384642604986569,0.6528040186545175,0.03875638304723762,0.7035278575322077
17,0.2342495222944875,0.11929700833321255,0.6466466384046515,0.045673339986781566,0.6883412878417383,0.249847736081276,0.11914728708494597,0.6568256757037314,0.04409035414499645,0.708437330142577
18,0.23218975889484605,0.12998502739011003,0.6505983137077082,0.033416683497892896,0.6872521183992404,0.20364066884586718,0.125698167288044,0.6578400613998899,0.04756198303480287,0.7097370747505474
19,0.224947763292556,0.12528796618310684,0.6558503702550581,0.04058050211483439,0.693264795464507,0.17745603517554737,0.117872005670002,0.6563389577061985,0.05036702644930398,0.7089032117243091
20,0.2183433560640872,0.1265618948793752,0.6616299376618997,0.03745131138509089,0.7042160392714358,0.1944150775326518,0.11959483124990127,0.6602218602236534,0.04849831871773225,0.7121360838354697
21,0.1848760568007652,0.1523353120795023,0.6620510037491637,0.035645738406178136,0.7027490554416416,0.20358054676398063,0.10401101385096541,0.6599177198477619,0.05962423597853154,0.7095770509712163
22,0.18080498866213152,0.14312045498601364,0.6642603489404079,0.03789811963455674,0.7085993689787917,0.16595679095054577,0.11536623788430352,0.6642746734515612,0.060521909123759335,0.7143065025929662
23,0.17480605360572823,0.13412524346347876,0.666735872688506,0.051305446044342375,0.7115087864128337,0.22346210629646066,0.11692437808463774,0.6616846826122196,0.057525451197910485,0.7068397122887864
24,0.1970477057720664,0.12096947434130398,0.6652974816125866,0.0436600709562732,0.7104045695432648,0.23262702669692437,0.10435046299625768,0.6617373358388513,0.05838717648986839,0.7130312692133093
25,0.21451176087904528,0.13367015526879975,0.6658988190586866,0.04631547753547867,0.7176668002155842,0.19574256404675805,0.11042544109556329,0.6684573997661187,0.06119652875668785,0.7179375093405626
26,0.21185497975175283,0.1248829549505827,0.6647823270963689,0.05074758580069403,0.7141741421639538,0.21742737393712938,0.10920555466436654,0.6655284833013734,0.058758412254111506,0.7121411000648562
27,0.19688535373281202,0.12204939078844354,0.6630981094347639,0.059940604552439256,0.717723226117322,0.19939236719879047,0.10804445619801947,0.6737548565940014,0.050145225017300676,0.7195074292534286
28,0.2058485672410562,0.10975890381279234,0.6710446874027589,0.06533751389009824,0.7260340802814572,0.22124455263797782,0.11455011879574888,0.6696574175100957,0.050738788141361804,0.7175417108179777
29,0.18196945367930512,0.10575152109907612,0.6726081510296538,0.06269825111514996,0.7264075408426048,0.23361833222808834,0.10713529754472242,0.6784501393663851,0.058878423358612306,0.7262286581231521
30,0.193543063670979,0.11934530899995108,0.6757954302014284,0.055272269413562426,0.7316987570371429,0.23450221686742867,0.09289856535274268,0.6783763443301034,0.04947642890254599,0.7247018167807249
