,wRaR,RaR
1,0.2362403191039132,0.21043222303843204
2,0.26024900324386896,0.21656030280863783
3,0.2579201382418735,0.2317010462538552
4,0.28547610404027196,0.24098488125534245
5,0.2918754224663094,0.26641634455135227
6,0.30759955017460894,0.2680817356907488
7,0.3268785770242219,0.28863403724303965
8,0.3372496980773967,0.2942175547805144
9,0.349471292450572,0.31274055170864995
10,0.3595454924279659,0.31490255968545766
11,0.3805889575546984,0.3193311522926052
12,0.3810695714797763,0.329958766775863
13,0.3914760354090836,0.33139727927688156
14,0.4014651986554905,0.34281383069221616
15,0.3910202015018476,0.33867440538435195
16,0.40343283585494927,0.3468986853923673
17,0.42162045068571086,0.34910471852958197
18,0.4191966281537736,0.35396558415896234
19,0.42419514562554256,0.3604452900749913
20,0.4454362070037252,0.3564198499333296
21,0.4402866226086231,0.35256694655470394
22,0.44489143352089916,0.36064335031218714
23,0.4552550023305602,0.36402761933462946
24,0.45467232723722467,0.3681407276892184
25,0.44709877823140465,0.35937019907173867
26,0.44645140116252136,0.39099083748773794
27,0.4485027743379801,0.3866850436881288
28,0.45845379734171265,0.3840098199692477
29,0.46705307043432914,0.3963437253502244
30,0.46473037747922524,0.3978885648181755
